"filename","url","tags","assetType","format","moderationStatus","publicId","assetId","displayName","deliveryType","createdAt"
"event_river_basin_testing_xljnyz","https://res.cloudinary.com/dsemiizxm/image/upload/v1789831595/event_river_basin_testing_xljnyz.webp","","image","webp","","event_river_basin_testing_xljnyz","1a6843550770d6308e82e7fc4543980f","event_river_basin_testing_xljnyz","upload","2026-09-19T15:26:35Z"
"event_smart_grid_workshop_fni9fv","https://res.cloudinary.com/dsemiizxm/image/upload/v1789831585/event_smart_grid_workshop_fni9fv.webp","","image","webp","","event_smart_grid_workshop_fni9fv","fe62a1bdc1c1eebb11f76599769068f7","event_smart_grid_workshop_fni9fv","upload","2026-09-19T15:26:25Z"
"event_metro_hydroponics_lfrx1f","https://res.cloudinary.com/dsemiizxm/image/upload/v1789831594/event_metro_hydroponics_lfrx1f.webp","","image","webp","","event_metro_hydroponics_lfrx1f","04e27931d74c3c9f7371c325169a87c7","event_metro_hydroponics_lfrx1f","upload","2026-09-19T15:26:34Z"
"event_eco_tracker_hackathon_liazoh","https://res.cloudinary.com/dsemiizxm/image/upload/v1789831593/event_eco_tracker_hackathon_liazoh.webp","","image","webp","","event_eco_tracker_hackathon_liazoh","9d73baa39fe28a30419300af4fb7c2e6","event_eco_tracker_hackathon_liazoh","upload","2026-09-19T15:26:33Z"
"event_dhanmondi_lake_cleaning_hzrqh7","https://res.cloudinary.com/dsemiizxm/image/upload/v1789831592/event_dhanmondi_lake_cleaning_hzrqh7.webp","","image","webp","","event_dhanmondi_lake_cleaning_hzrqh7","9db0a9262ed84562f3f20600a750dd36","event_dhanmondi_lake_cleaning_hzrqh7","upload","2026-09-19T15:26:32Z"
"event_community_network_build_pfndax","https://res.cloudinary.com/dsemiizxm/image/upload/v1789831592/event_community_network_build_pfndax.webp","","image","webp","","event_community_network_build_pfndax","2f62b63c31733af9ca07907aaf0f5888","event_community_network_build_pfndax","upload","2026-09-19T15:26:32Z"
"auth_volunteer_portal_dri8j9","https://res.cloudinary.com/dsemiizxm/image/upload/v1789831591/auth_volunteer_portal_dri8j9.webp","","image","webp","","auth_volunteer_portal_dri8j9","2c342348afa7375bcd68cf665910d560","auth_volunteer_portal_dri8j9","upload","2026-09-19T15:26:31Z"
"auth_organization_portal_kk2o7p","https://res.cloudinary.com/dsemiizxm/image/upload/v1789831591/auth_organization_portal_kk2o7p.webp","","image","webp","","auth_organization_portal_kk2o7p","49c8b3fc84a8fe3e7e07eebeea3ea62c","auth_organization_portal_kk2o7p","upload","2026-09-19T15:26:31Z"
"org_urban_roots_collective_pqfsgl","https://res.cloudinary.com/dsemiizxm/image/upload/v1789831590/org_urban_roots_collective_pqfsgl.webp","","image","webp","","org_urban_roots_collective_pqfsgl","53aa89bb7ddb62daafaafda6834282d6","org_urban_roots_collective_pqfsgl","upload","2026-09-19T15:26:30Z"
"org_solar_action_network_stx2ea","https://res.cloudinary.com/dsemiizxm/image/upload/v1789831589/org_solar_action_network_stx2ea.webp","","image","webp","","org_solar_action_network_stx2ea","b4012579dc6dbed062ac6eac7a2bb685","org_solar_action_network_stx2ea","upload","2026-09-19T15:26:29Z"
"org_ocean_clean_ai_w6fog8","https://res.cloudinary.com/dsemiizxm/image/upload/v1789831588/org_ocean_clean_ai_w6fog8.webp","","image","webp","","org_ocean_clean_ai_w6fog8","c9eabb9e39977d11087d5d550a8350f7","org_ocean_clean_ai_w6fog8","upload","2026-09-19T15:26:28Z"
"org_greentech_initiative_xrfpht","https://res.cloudinary.com/dsemiizxm/image/upload/v1789831588/org_greentech_initiative_xrfpht.webp","","image","webp","","org_greentech_initiative_xrfpht","6a1eb18db6933c4b152b100e2908f2eb","org_greentech_initiative_xrfpht","upload","2026-09-19T15:26:28Z"
"event_watershed_restoration_rs5s3p","https://res.cloudinary.com/dsemiizxm/image/upload/v1789831588/event_watershed_restoration_rs5s3p.webp","","image","webp","","event_watershed_restoration_rs5s3p","88e5592af16652d63c10dd7b161785ed","event_watershed_restoration_rs5s3p","upload","2026-09-19T15:26:28Z"
"hero_homepage_volunteers_b2msw3","https://res.cloudinary.com/dsemiizxm/image/upload/v1789831587/hero_homepage_volunteers_b2msw3.webp","","image","webp","","hero_homepage_volunteers_b2msw3","99a38aa455a8d64b17d0ab6875f8c381","hero_homepage_volunteers_b2msw3","upload","2026-09-19T15:26:27Z"
"event_urban_forest_mapping_e5uqyi","https://res.cloudinary.com/dsemiizxm/image/upload/v1789831586/event_urban_forest_mapping_e5uqyi.webp","","image","webp","","event_urban_forest_mapping_e5uqyi","3472f66341116f1ec14ec98ef077d481","event_urban_forest_mapping_e5uqyi","upload","2026-09-19T15:26:26Z"
"event_urban_renewal_hackathon_l58ij4","https://res.cloudinary.com/dsemiizxm/image/upload/v1789831586/event_urban_renewal_hackathon_l58ij4.webp","","image","webp","","event_urban_renewal_hackathon_l58ij4","edb1539f3a32fb631d40fbe03a179697","event_urban_renewal_hackathon_l58ij4","upload","2026-09-19T15:26:26Z"
